tutanak_id,donem,yasama_yili,butce_yili,tarih,tarih_raw,baslik,kaynak_url
1031,23,5,2011,2010-11-23,23/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1033,23,5,2011,2010-11-24,24/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1077,24,2,2012,2011-10-26,26/10/2011,MALİYE BAKANININ BÜTÇE VE KESİN HESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1080,24,2,2012,2011-10-31,31/10/2011,BÜTÇE VE KESİNHESAP KANUNU TASARILARININ TÜMÜ ÜZERİNDE GÖRÜŞMELER,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1062,24,2,2012,2011-11-01,01/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1064,24,2,2012,2011-11-02,02/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1066,24,2,2012,2011-11-03,03/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1067,24,2,2012,2011-11-04,04/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1068,24,2,2012,2011-11-14,14/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1069,24,2,2012,2011-11-15,15/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
