tutanak_id,kaynak,donem,yasama_yili,butce_yili,tarih,baslik,tip,yerel_pdf_yol,yerel_txt_yol,indir_durum,parse_durum,sayfa_sayisi,kelime_sayisi,kalite_skoru,sure_sn,hata_mesaji
1030,owa,23,5,2011,2010-11-22,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101122_1030_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101122_1030_owa.txt,ok,ok,82,63883,9.3,2.0600000000000023,NA
1031,owa,23,5,2011,2010-11-23,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101123_1031_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101123_1031_owa.txt,ok,ok,89,68323,9.3,2.1099999999999994,NA
1033,owa,23,5,2011,2010-11-24,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101124_1033_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101124_1033_owa.txt,ok,ok,96,74894,9.3,2.0600000000000023,NA
1077,owa,24,2,2012,2011-10-26,MALİYE BAKANININ BÜTÇE VE KESİN HESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,sunum,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111026_1077_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111026_1077_owa.txt,ok,ok,16,11623,8,1.7900000000000063,NA
1080,owa,24,2,2012,2011-10-31,BÜTÇE VE KESİNHESAP KANUNU TASARILARININ TÜMÜ ÜZERİNDE GÖRÜŞMELER,gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111031_1080_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111031_1080_owa.txt,ok,ok,65,53953,9.3,1.9200000000000017,NA
1062,owa,24,2,2012,2011-11-01,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111101_1062_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111101_1062_owa.txt,ok,ok,77,59186,9.3,2.0400000000000063,NA
1064,owa,24,2,2012,2011-11-02,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111102_1064_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111102_1064_owa.txt,ok,ok,97,76060,9.3,2.3600000000000136,NA
1066,owa,24,2,2012,2011-11-03,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111103_1066_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111103_1066_owa.txt,ok,ok,76,58352,9.3,2,NA
1067,owa,24,2,2012,2011-11-04,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111104_1067_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111104_1067_owa.txt,ok,ok,83,62536,9.2,2.069999999999993,NA
1068,owa,24,2,2012,2011-11-14,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111114_1068_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111114_1068_owa.txt,ok,ok,97,77555,9.3,2.069999999999993,NA
