link_metni,pdf_url_ham,pdf_url,gorusme_tarihi,tip,butce_yili,dosya_adi,yerel_pdf_yol,yerel_txt_yol,kaynak
7 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/07-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/07-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-07,gorusme,2020,20191107_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191107_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191107_gorusme_sbb_001.txt,sbb
8 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/08-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/08-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-08,gorusme,2020,20191108_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191108_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191108_gorusme_sbb_001.txt,sbb
11 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/11-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/11-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-11,gorusme,2020,20191111_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191111_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191111_gorusme_sbb_001.txt,sbb
12 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/12-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/12-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-12,gorusme,2020,20191112_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191112_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191112_gorusme_sbb_001.txt,sbb
13 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/13-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/13-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-13,gorusme,2020,20191113_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191113_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191113_gorusme_sbb_001.txt,sbb
14 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/14-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/14-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-14,gorusme,2020,20191114_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191114_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191114_gorusme_sbb_001.txt,sbb
15 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/15-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/15-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-15,gorusme,2020,20191115_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191115_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191115_gorusme_sbb_001.txt,sbb
18 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/18-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/18-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-18,gorusme,2020,20191118_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191118_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191118_gorusme_sbb_001.txt,sbb
19 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/19-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/19-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-19,gorusme,2020,20191119_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191119_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191119_gorusme_sbb_001.txt,sbb
20 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/20-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/20-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-20,gorusme,2020,20191120_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191120_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191120_gorusme_sbb_001.txt,sbb
